Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
"Galion, Maggiordomo del Re degli Elfi",hob,The Hobbit,125,normal,uncommon,1,114979,985bd676-58c4-42c7-a570-1b413e9aa94c,0.06,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
"Galion, Maggiordomo del Re degli Elfi",hob,The Hobbit,125,normal,uncommon,1,114979,985bd676-58c4-42c7-a570-1b413e9aa94c,0.06,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Attraverso la Porta della Foresta,hob,The Hobbit,137,normal,rare,1,114978,880adfc8-69cf-4062-a804-e65b6cb6056d,0.61,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Bosco Atro,hob,The Hobbit,188,normal,common,1,115054,612cf954-f86c-4629-99df-4874d56fded3,0.09,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Schiamazzatore Rumoroso,hob,The Hobbit,89,normal,uncommon,1,114956,cb25b11a-6bf5-4a9a-b60f-d4dcac3816d6,0.16,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Mappa di Thrór,hob,The Hobbit,179,normal,uncommon,1,115032,ad0dba36-d056-4bc1-987a-391da26ad267,0.14,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Lama Curva Grezza,hob,The Hobbit,63,normal,common,1,115116,fa8fd3c4-bd00-485d-80b1-2b67f5786fce,0.06,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Sputaveleno,hob,The Hobbit,116,normal,common,1,115206,81263d5d-e402-4813-9458-161112da27ab,0.06,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Spada Corta dei Nani,hob,The Hobbit,10,normal,common,1,115259,f2341cf3-4d2c-4a4f-9aea-8834104a8910,0.07,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Arpista del Re degli Elfi,hob,The Hobbit,38,normal,common,1,115214,9c50656d-c74a-4e90-9ef7-afa237682516,0.05,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Cotta di Maglia Goblin,hob,The Hobbit,157,normal,common,1,115085,cb982607-da37-4894-91a5-cf6307d4d703,0.06,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Óin il Coraggioso,hob,The Hobbit,106,normal,common,1,115212,9984b9ef-e81c-48f4-aa33-0504171a2d3c,0.07,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Orso Normale,hob,The Hobbit,133,normal,common,1,115040,0feb9817-56e1-465a-851c-b2fe202aa8ae,0.06,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Piantare una Grana,hob,The Hobbit,84,normal,common,1,115266,fd145e3a-c889-4390-accb-863dbcc845ce,0.09,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Magnifica Fine,hob,The Hobbit,20,foil,common,1,115170,430c8916-1167-400b-9cad-d301f59d5e5d,0.13,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
"Smaug, la Grande Calamità // Spew Flame",hob,The Hobbit,109,foil,common,1,115167,419ca9e5-8413-4378-a4ef-eda5a1024218,0.18,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Mangiaterra del Deserto,hob,The Hobbit,92,normal,rare,1,114939,fc12c22a-11ff-4fb0-bc42-dd8490b8efb7,0.29,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Sentinelle del Porticato,hob,The Hobbit,67,normal,common,1,115094,07bfc803-e11b-47ab-9f25-0ace7e174200,0.03,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Lancia Corta Logora,hob,The Hobbit,108,normal,common,1,115203,7bf81a8b-52ad-49f5-a3d4-22613cad3a3d,0.1,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Tattiche da Warg,hob,The Hobbit,139,normal,common,1,115228,b06d9cee-bb0f-4fe7-ab2a-b55d36461aec,0.08,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Bosco Atro,hob,The Hobbit,188,normal,common,1,115054,612cf954-f86c-4629-99df-4874d56fded3,0.08,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Orso Grande,hob,The Hobbit,159,normal,uncommon,1,115049,50202288-f433-4b56-8f60-349bda7b4f6b,0.07,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Il Ritorno del Re della Montagna,hob,The Hobbit,22,normal,uncommon,1,114898,68f4893d-e9a5-4f89-ade3-9ab78a834ad5,0.08,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Attacco delle Pigne,hob,The Hobbit,107,normal,common,1,115255,ea174cea-40e5-424e-9734-e39aae6c6b17,0.04,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
"Beorn, Ospite Riluttante // Till and Tend",hob,The Hobbit,118,normal,common,1,115066,804589b7-3ef9-473d-97cc-c61a2d41f70d,0.05,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Seccatura del Lago Lungo,hob,The Hobbit,45,normal,common,1,115240,cd5af94d-6321-4834-8e5f-e5d0261b3ef3,0.03,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Vecchio Tordo,hob,The Hobbit,2,normal,common,1,115162,3ad02b56-13ec-46ef-92bd-ae078b8bb517,0.05,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
Presidio di Esgaroth,hob,The Hobbit,13,normal,common,1,115177,573f67b0-6ce8-4857-a703-4a5728640736,0.03,false,false,near_mint,it,EUR,2026-09-14T20:13:15.211177Z
